,convocatoria,region,motivo,resolucion_ret_beca,fec_resolucion_ret_beca,fec_Postulacion,tipoinstitucion,institucioneducativa,institucionsede,carreradescripcion,genero
5220,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,,2013-02,Universidad,ANTONIO RUIZ DE MONTOYA,SEDE PUEBLO LIBRE,ECONOMIA Y GESTION AMBIENTAL,MASCULINO
5221,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2015-02,2013-02,Universidad,ANTONIO RUIZ DE MONTOYA,SEDE PUEBLO LIBRE,ECONOMIA Y GESTION AMBIENTAL,MASCULINO
5222,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-02,Universidad,ANTONIO RUIZ DE MONTOYA,SEDE PUEBLO LIBRE,ECONOMIA Y GESTION AMBIENTAL,MASCULINO
5223,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Universidad,ANTONIO RUIZ DE MONTOYA,SEDE PUEBLO LIBRE,INGENIERIA INDUSTRIAL,MASCULINO
5224,Beca 18 VRAEM 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,CIBERTEC,SEDE SAN MIGUEL,ADMINISTRACION Y SISTEMAS,MASCULINO
5227,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Universidad,ANTONIO RUIZ DE MONTOYA,SEDE PUEBLO LIBRE,ECONOMIA Y GESTION AMBIENTAL,MASCULINO
5228,Beca 18 Ordinaria 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-01,Universidad,ANTONIO RUIZ DE MONTOYA,SEDE PUEBLO LIBRE,INGENIERIA INDUSTRIAL,MASCULINO
5231,Beca Especial Reparaciones en EducaciÃ³n 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2014-02,Universidad,ANTONIO RUIZ DE MONTOYA,SEDE PUEBLO LIBRE,INGENIERIA INDUSTRIAL,MASCULINO
5233,Beca 18 Ordinaria 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-01,Universidad,ANTONIO RUIZ DE MONTOYA,SEDE PUEBLO LIBRE,ECONOMIA Y GESTION AMBIENTAL,MASCULINO
5236,Beca 18 Albergue 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-01,Universidad,ANTONIO RUIZ DE MONTOYA,SEDE PUEBLO LIBRE,ECONOMIA Y GESTION AMBIENTAL,MASCULINO
5237,Beca 18 Ordinaria 2015,LIMA,0,RESOLUCION JEFATURAL,,2015-01,Universidad,ANTONIO RUIZ DE MONTOYA,SEDE PUEBLO LIBRE,ECONOMIA Y GESTION AMBIENTAL,MASCULINO
5238,Beca 18 Ordinaria 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-01,Universidad,ANTONIO RUIZ DE MONTOYA,SEDE PUEBLO LIBRE,PSICOLOGIA,MASCULINO
5239,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Universidad,PRIVADA DEL NORTE,SEDE LIMA,ARQUITECTURA Y URBANISMO,MASCULINO
5240,Beca Especial Reparaciones en EducaciÃ³n 2014-01,LIMA,1,RESOLUCION JEFATURAL,2015-03,2014-02,Universidad,PRIVADA DEL NORTE,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
5241,Beca 18 Ordinaria 2015,LA LIBERTAD,0,RESOLUCION JEFATURAL,,2015-01,Universidad,PRIVADA DEL NORTE,SEDE TRUJILLO,ARQUITECTURA Y URBANISMO,MASCULINO
5242,Beca 18 Ordinaria 2015,LA LIBERTAD,0,RESOLUCION JEFATURAL,,2015-01,Universidad,PRIVADA DEL NORTE,SEDE TRUJILLO,INGENIERIA AGROINDUSTRIAL,MASCULINO
5243,Beca 18 Modalidad Ordinaria 2014,LA LIBERTAD,1,RESOLUCION JEFATURAL,,2014-01,Universidad,PRIVADA DEL NORTE,SEDE TRUJILLO,INGENIERIA CIVIL,MASCULINO
5244,Beca 18 Modalidad Ordinaria 2013,LA LIBERTAD,1,RESOLUCION JEFATURAL,2014-05,2013-02,Universidad,PRIVADA DEL NORTE,SEDE TRUJILLO,INGENIERIA EMPRESARIAL,MASCULINO
5246,Beca 18 Modalidad Ordinaria 2013,LA LIBERTAD,0,RESOLUCION JEFATURAL,2014-09,2013-02,Universidad,PRIVADA DEL NORTE,SEDE TRUJILLO,INGENIERIA EMPRESARIAL,MASCULINO
5247,Beca 18 Modalidad Ordinaria 2014,LA LIBERTAD,1,RESOLUCION JEFATURAL,,2014-01,Universidad,PRIVADA DEL NORTE,SEDE TRUJILLO,INGENIERIA AMBIENTAL,MASCULINO
5248,Beca 18 Modalidad Ordinaria 2013,LA LIBERTAD,1,RESOLUCION JEFATURAL,,2013-02,Universidad,PRIVADA DEL NORTE,SEDE TRUJILLO,INGENIERIA CIVIL,MASCULINO
5249,Beca 18 Modalidad Ordinaria 2013,LA LIBERTAD,1,RESOLUCION JEFATURAL,2014-05,2013-02,Universidad,PRIVADA DEL NORTE,SEDE TRUJILLO,INGENIERIA AMBIENTAL,MASCULINO
5252,Beca 18 FFAA 2015,LA LIBERTAD,0,RESOLUCION JEFATURAL,,2015-01,Universidad,PRIVADA DEL NORTE,SEDE TRUJILLO,INGENIERIA CIVIL,MASCULINO
5253,Beca 18 Modalidad Ordinaria 2013,CAJAMARCA,1,RESOLUCION JEFATURAL,,2013-02,Universidad,PRIVADA DEL NORTE,SEDE CAJAMARCA,INGENIERIA AMBIENTAL,MASCULINO
5254,Beca 18 Modalidad Ordinaria 2013,CAJAMARCA,1,RESOLUCION JEFATURAL,,2013-02,Universidad,PRIVADA DEL NORTE,SEDE CAJAMARCA,INGENIERIA DE MINAS,MASCULINO
5256,Beca 18 Modalidad Ordinaria 2014,CAJAMARCA,1,RESOLUCION JEFATURAL,,2014-01,Universidad,PRIVADA DEL NORTE,SEDE CAJAMARCA,INGENIERIA DE MINAS,MASCULINO
5257,Beca 18 Modalidad Ordinaria 2013,CAJAMARCA,1,RESOLUCION JEFATURAL,2014-09,2013-02,Universidad,PRIVADA DEL NORTE,SEDE CAJAMARCA,INGENIERIA GEOLOGICA,MASCULINO
5258,Beca 18 Modalidad Ordinaria 2013,CAJAMARCA,0,RESOLUCION JEFATURAL,2013-08,2013-02,Universidad,PRIVADA DEL NORTE,SEDE CAJAMARCA,ARQUITECTURA Y URBANISMO,MASCULINO
5259,Beca 18 Modalidad Ordinaria 2014,CAJAMARCA,1,RESOLUCION JEFATURAL,,2014-02,Universidad,PRIVADA DEL NORTE,SEDE CAJAMARCA,INGENIERIA CIVIL,MASCULINO
5260,Beca 18 Modalidad Ordinaria 2014,CAJAMARCA,1,RESOLUCION JEFATURAL,,2014-01,Universidad,PRIVADA DEL NORTE,SEDE CAJAMARCA,INGENIERIA CIVIL,MASCULINO
5264,Beca 18 Ordinaria 2015,CAJAMARCA,1,RESOLUCION JEFATURAL,,2015-01,Universidad,PRIVADA DEL NORTE,SEDE CAJAMARCA,INGENIERIA CIVIL,MASCULINO
5267,Beca 18 Ordinaria 2015,CAJAMARCA,0,RESOLUCION JEFATURAL,,2015-01,Universidad,PRIVADA DEL NORTE,SEDE CAJAMARCA,INGENIERIA DE MINAS,MASCULINO
5268,Beca 18 Modalidad Ordinaria 2013,AREQUIPA,1,RESOLUCION JEFATURAL,2014-09,2013-02,Universidad,CATOLICA SAN PABLO,SEDE AREQUIPA,INGENIERIA ELECTRONICA Y DE TELECOMUNICACIONES,MASCULINO
5270,Beca 18 Modalidad Ordinaria 2013,AREQUIPA,1,RESOLUCION JEFATURAL,,2013-02,Universidad,CATOLICA SAN PABLO,SEDE AREQUIPA,INGENIERIA ELECTRONICA Y DE TELECOMUNICACIONES,MASCULINO
5271,Beca 18 Modalidad Ordinaria 2013,AREQUIPA,1,RESOLUCION JEFATURAL,2014-10,2013-02,Universidad,CATOLICA SAN PABLO,SEDE AREQUIPA,CIENCIA DE LA COMPUTACION,MASCULINO
5272,Beca 18 Modalidad Ordinaria 2013,AREQUIPA,1,RESOLUCION JEFATURAL,2014-09,2013-02,Universidad,CATOLICA SAN PABLO,SEDE AREQUIPA,CIENCIA DE LA COMPUTACION,MASCULINO
5274,Beca 18 Modalidad Ordinaria 2013,AREQUIPA,1,RESOLUCION JEFATURAL,2015-03,2013-02,Universidad,CATOLICA SAN PABLO,SEDE AREQUIPA,INGENIERIA INDUSTRIAL,MASCULINO
5275,Beca 18 Albergue 2014-01,AREQUIPA,1,RESOLUCION JEFATURAL,,2014-02,Universidad,CATOLICA SAN PABLO,SEDE AREQUIPA,INGENIERIA ELECTRONICA Y DE TELECOMUNICACIONES,MASCULINO
5276,Beca 18 Modalidad Ordinaria 2014,AREQUIPA,0,RESOLUCION JEFATURAL,2014-08,2014-02,Universidad,CATOLICA SAN PABLO,SEDE AREQUIPA,INGENIERIA ELECTRONICA Y DE TELECOMUNICACIONES,MASCULINO
5277,Beca 18 Modalidad Ordinaria 2014,AREQUIPA,1,RESOLUCION JEFATURAL,2015-03,2014-02,Universidad,CATOLICA SAN PABLO,SEDE AREQUIPA,INGENIERIA ELECTRONICA Y DE TELECOMUNICACIONES,MASCULINO
5278,Beca 18 Modalidad Ordinaria 2014,AREQUIPA,1,RESOLUCION JEFATURAL,,2014-02,Universidad,CATOLICA SAN PABLO,SEDE AREQUIPA,INGENIERIA INDUSTRIAL,MASCULINO
5279,Beca 18 Modalidad Ordinaria 2014,AREQUIPA,1,RESOLUCION JEFATURAL,,2014-02,Universidad,CATOLICA SAN PABLO,SEDE AREQUIPA,INGENIERIA ELECTRONICA Y DE TELECOMUNICACIONES,MASCULINO
5282,Beca 18 Ordinaria 2015,AREQUIPA,0,RESOLUCION JEFATURAL,,2015-01,Universidad,CATOLICA SAN PABLO,SEDE AREQUIPA,INGENIERIA INDUSTRIAL,MASCULINO
5285,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,2014-12,2014-01,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE HUACHO,INGENIERIA AMBIENTAL,MASCULINO
5286,Beca 18 Modalidad Ordinaria 2013,PIURA,1,RESOLUCION JEFATURAL,2015-03,2013-02,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE PIURA,INGENIERIA AGROINDUSTRIAL Y BIOCOMERCIO,MASCULINO
5287,Beca 18 Modalidad Ordinaria 2013,PIURA,0,RESOLUCION JEFATURAL,,2013-02,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE PIURA,INGENIERIA AGROINDUSTRIAL Y BIOCOMERCIO,MASCULINO
5288,Beca 18 Modalidad Ordinaria 2013,PIURA,0,RESOLUCION JEFATURAL,,2013-02,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE PIURA,INGENIERIA AMBIENTAL,MASCULINO
5289,Beca 18 Modalidad Ordinaria 2014,AREQUIPA,0,RESOLUCION JEFATURAL,2015-02,2014-01,Universidad,CATOLICA SAN PABLO,SEDE AREQUIPA,CIENCIA DE LA COMPUTACION,MASCULINO
5292,Beca 18 Modalidad Ordinaria 2013,SAN MARTIN,0,RESOLUCION JEFATURAL,2013-08,2013-02,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA AMBIENTAL,MASCULINO
5293,Beca 18 Modalidad Ordinaria 2013,SAN MARTIN,1,RESOLUCION JEFATURAL,2015-03,2013-02,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA CIVIL,MASCULINO
5294,Beca 18 Modalidad Ordinaria 2013,SAN MARTIN,1,RESOLUCION JEFATURAL,2014-10,2013-02,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA AMBIENTAL,MASCULINO
5295,Beca 18 Modalidad Ordinaria 2013,SAN MARTIN,1,RESOLUCION JEFATURAL,,2013-02,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA CIVIL,MASCULINO
5296,Beca 18 Modalidad Ordinaria 2014,SAN MARTIN,1,RESOLUCION JEFATURAL,,2014-01,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA CIVIL,MASCULINO
5298,Beca 18 Modalidad Ordinaria 2014,SAN MARTIN,1,RESOLUCION JEFATURAL,,2014-01,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA AMBIENTAL,MASCULINO
5299,Beca 18 Modalidad Ordinaria 2014,SAN MARTIN,0,RESOLUCION JEFATURAL,2014-11,2014-03,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA CIVIL,MASCULINO
5301,Beca 18 Modalidad Ordinaria 2013,SAN MARTIN,1,RESOLUCION JEFATURAL,2014-05,2013-02,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA CIVIL,MASCULINO
5304,Beca 18 Huallaga 2014-01,SAN MARTIN,0,RESOLUCION JEFATURAL,2014-08,2014-02,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA AMBIENTAL,MASCULINO
5306,Beca 18 Modalidad Ordinaria 2014,SAN MARTIN,0,RESOLUCION JEFATURAL,,2014-01,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA CIVIL,MASCULINO
5309,Beca 18 Modalidad Ordinaria 2014,SAN MARTIN,0,RESOLUCION JEFATURAL,,2014-02,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA CIVIL,MASCULINO
5310,Beca 18 Modalidad Ordinaria 2014,SAN MARTIN,0,RESOLUCION JEFATURAL,2014-11,2014-02,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA AGRARIA CON MENCION FORESTAL,MASCULINO
5311,Beca 18 Modalidad Ordinaria 2014,SAN MARTIN,0,RESOLUCION JEFATURAL,2014-11,2014-01,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA AMBIENTAL,MASCULINO
5313,Beca 18 Modalidad Ordinaria 2014,SAN MARTIN,1,RESOLUCION JEFATURAL,,2014-02,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA CIVIL,MASCULINO
5314,Beca 18 Ordinaria 2015,SAN MARTIN,1,RESOLUCION JEFATURAL,,2015-01,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA AMBIENTAL,MASCULINO
5318,Beca 18 Ordinaria 2015,SAN MARTIN,0,RESOLUCION JEFATURAL,,2015-01,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA CIVIL,MASCULINO
5321,Beca 18 Ordinaria 2015,SAN MARTIN,1,RESOLUCION JEFATURAL,,2015-01,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA CIVIL,MASCULINO
5323,Beca 18 Ordinaria 2015,SAN MARTIN,1,,,2015-01,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA AGRARIA CON MENCION FORESTAL,MASCULINO
5325,Beca 18 REPARED 2015,SAN MARTIN,0,RESOLUCION JEFATURAL,,2015-01,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA AMBIENTAL,MASCULINO
5326,Beca 18 CNA 2015,SAN MARTIN,0,RESOLUCION JEFATURAL,,2015-02,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,ENFERMERIA,MASCULINO
5328,Beca 18 Ordinaria 2015,SAN MARTIN,1,RESOLUCION JEFATURAL,,2015-01,Universidad,CATOLICA SEDES SAPIENTIAE,SEDE NUEVA CAJAMARCA,INGENIERIA AGRARIA CON MENCION FORESTAL,MASCULINO
5329,Beca Especial Reparaciones en EducaciÃ³n 2014-01,CALLAO,1,,,2014-02,Instituto de Educación Superior Tecnológico,NUEVO PACHACUTEC,SEDE VENTANILLA,COCINA,MASCULINO
5330,Beca 18 Ordinaria 2015,CALLAO,1,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,NUEVO PACHACUTEC,SEDE VENTANILLA,ELECTROTECNIA INDUSTRIAL,MASCULINO
5331,Beca 18 Ordinaria 2015,CALLAO,1,,,2015-01,Instituto de Educación Superior Tecnológico,NUEVO PACHACUTEC,SEDE VENTANILLA,ELECTROTECNIA INDUSTRIAL,MASCULINO
5332,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,,2013-03,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,REDES Y COMUNICACIONES DE DATOS,MASCULINO
5333,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-05,2013-03,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,ELECTROTECNIA INDUSTRIAL,MASCULINO
5334,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,ELECTRONICA Y AUTOMATIZACION INDUSTRIAL,MASCULINO
5335,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-12,2013-02,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,PROCESOS QUIMICOS Y METALURGICOS,MASCULINO
5336,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,MANTENIMIENTO DE MAQUINARIA PESADA,MASCULINO
5337,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-03,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,PROCESOS QUIMICOS Y METALURGICOS,MASCULINO
5338,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-03,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,REDES Y COMUNICACIONES DE DATOS,MASCULINO
5339,Beca 18 Modalidad Ordinaria 2013,LIMA,0,RESOLUCION JEFATURAL,,2013-02,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,ELECTRONICA Y AUTOMATIZACION INDUSTRIAL,MASCULINO
5340,Beca Especial Reparaciones en EducaciÃ³n 2014-01,LIMA,0,RESOLUCION JEFATURAL,,2014-02,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,ELECTROTECNIA INDUSTRIAL,MASCULINO
5341,Beca Especial Reparaciones en EducaciÃ³n 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,ELECTROTECNIA INDUSTRIAL,MASCULINO
5342,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-05,2013-03,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,REDES Y COMUNICACIONES DE DATOS,MASCULINO
5343,Beca 18 Modalidad Ordinaria 2013,LIMA,1,RESOLUCION JEFATURAL,2014-05,2013-03,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,ELECTRONICA Y AUTOMATIZACION INDUSTRIAL,MASCULINO
5349,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,REDES Y COMUNICACIONES DE DATOS,MASCULINO
5350,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-02,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,REDES Y COMUNICACIONES DE DATOS,MASCULINO
5351,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,PROCESOS QUIMICOS Y METALURGICOS,MASCULINO
5352,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,ELECTRONICA Y AUTOMATIZACION INDUSTRIAL,MASCULINO
5356,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,MANTENIMIENTO DE MAQUINARIA DE PLANTA,MASCULINO
5357,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,ELECTROTECNIA INDUSTRIAL,MASCULINO
5369,Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,0,RESOLUCION JEFATURAL,2015-09,2014-11,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,AUXILIAR DE MANTENIMIENTO MECANICO,MASCULINO
5373,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,MANTENIMIENTO DE MAQUINARIA PESADA,MASCULINO
5374,Beca 18 Modalidad Ordinaria 2014,LIMA,1,RESOLUCION JEFATURAL,,2014-02,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,ELECTRONICA Y AUTOMATIZACION INDUSTRIAL,MASCULINO
5378,Beca 18 Modalidad Ordinaria 2014,LIMA,0,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,MANTENIMIENTO DE MAQUINARIA DE PLANTA,MASCULINO
5382,Beca 18 Modalidad Ordinaria 2014,LIMA,0,RESOLUCION JEFATURAL,,2014-02,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,REDES Y COMUNICACIONES DE DATOS,MASCULINO
5384,Beca 18 Modalidad Ordinaria 2014,LIMA,0,RESOLUCION JEFATURAL,2014-08,2014-02,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,ELECTROTECNIA INDUSTRIAL,MASCULINO
5387,Beca 18 Modalidad Ordinaria 2014,LIMA,0,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,ELECTROTECNIA INDUSTRIAL,MASCULINO
5388,Beca 18 Huallaga 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,ELECTRONICA Y AUTOMATIZACION INDUSTRIAL,MASCULINO
5389,Beca 18 Albergue 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2014-02,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,PROCESOS QUIMICOS Y METALURGICOS,MASCULINO
5390,Beca 18 VRAEM 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,PROCESOS QUIMICOS Y METALURGICOS,MASCULINO
5391,Beca 18 VRAEM 2014-01,LIMA,1,RESOLUCION JEFATURAL,,2014-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,MANTENIMIENTO DE MAQUINARIA PESADA,MASCULINO
5396,Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,0,RESOLUCION JEFATURAL,2015-09,2014-11,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,AUXILIAR DE ALMACEN DE EQUIPO PESADO,MASCULINO
5398,Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,0,RESOLUCION JEFATURAL,2015-09,2014-10,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,AUXILIAR TECNICO DE LOGISTICA Y DISTRIBUCION,MASCULINO
5399,Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,0,RESOLUCION JEFATURAL,2015-09,2014-10,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,AYUDANTE DE ALMACEN Y LOGISTICA,MASCULINO
5400,Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,0,RESOLUCION JEFATURAL,2015-09,2014-12,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,AUXILIAR DE MANTENIMIENTO MECANICO,MASCULINO
5417,Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,0,RESOLUCION JEFATURAL,2015-09,2014-11,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,AUXILIAR TECNICO DE LOGISTICA Y DISTRIBUCION,MASCULINO
5418,Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,0,RESOLUCION JEFATURAL,2015-09,2014-10,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,AUXILIAR TECNICO EN ELECTROTECNIA INDUSTRIAL,MASCULINO
5422,Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,0,RESOLUCION JEFATURAL,2015-09,2014-10,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,AUXILIAR TECNICO DE MANTENIMIENTO DE PLANTAS INDUSTRIALES,MASCULINO
5433,Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,0,RESOLUCION JEFATURAL,2015-09,2014-12,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,AUXILIAR DE ALMACEN DE EQUIPO PESADO,MASCULINO
5473,Beca para Poblaciones Vulnerables y en Situaciones Especiales de FormaciÃ³n TÃ©cnico Productiva 2015,LIMA,0,RESOLUCION JEFATURAL,2015-09,2014-10,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,AUXILIAR DE MANTENIMIENTO MECANICO,MASCULINO
5474,Beca 18 Ordinaria 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,OPERACIONES MINERAS,MASCULINO
5475,Beca 18 Ordinaria 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,MANTENIMIENTO DE MAQUINARIA PESADA,MASCULINO
5477,Beca 18 Ordinaria 2015,LIMA,1,RESOLUCION JEFATURAL,,2015-01,Instituto de Educación Superior Tecnológico,TECSUP - LIMA,SEDE SANTA ANITA,ELECTROTECNIA INDUSTRIAL,MASCULINO
